"Ваш запрос: риторический маркер ""когда"" (любое риторическое отношение)",,
Номер текста,ЭДЕ,Контекст
1,"когда на смену героям, кочующим из одного ток-шоу в другое и по дороге заглядывающим в «Школу злословия», к Татьяне Никитичне и Авдотье Андреевне стал приходить совсем другой народ: политологи, публицисты, причем практически исключительно либеральных убеждений.",
3,и когда он закончится.,
7,"##### Когда в окрестности Урана прибыл космический аппарат «Вояджер-2»,",
10,когда Немецким Федеральным Комитетом по Оценке СМИ обложка диска была названа пропагандирующей садомазохизм.,
11,"##### Когда покупательная способность валюты на рынке падает,",
12,"когда может поменяться то, с чем вы свыклись как с чем-то неизменным.",
12,когда что-то пойдёт не так.,
12,когда многое прояснится,
14,"##### Когда наступил кризис 1998 года,",
14,"##### Когда студия-правообладатель продаёт созданный до 1992 года фильм телеканалам или выпускает его на диске,",
14,"Поэтому, когда мы упоминаем Татьяну Лиознову и её «Семнадцать мгновений весны»,",
14,"когда привлекались художники и фотографы, отражавшие жизнь страны в те годы.",
18,"Когда система из четырёх спутников будет полностью проверена и работоспособна,",
19,"когда центральная власть (слабая и эфемерная) не лезет в местные дела,",
23,##### Когда известный писатель «смиряется» до роли интервьюера,
23,"когда они сысканы в жизни,",
28,когда Панкисское ущелье превратилось в тыловую базу чеченских террористов.,
34,"когда стало понятно, что коллективная финансовая угроза может быть устранена независимо от того, правильным было это решение или нет)",
35,"когда он может быть сформирован – это июль 2011 года, что является маловероятным.",
38,"Когда мировые лидеры соберутся в Питсбурге на саммит G-20,",
38,"когда существующая система,",
40,когда нам удалось высадиться на Луне,
40,"когда лидеры стран встретятся в Риме,",
42,"Когда у компании есть контролирующий акционер, тем не менее,",
60,когда она сделала верный прогноз в 17 случаях из 22.,
61,"но когда он попытался уехать из деревни,",
62,"когда ее тренировал Гвардиола,",
64,"когда зародились тот или иной метод или средство и как это все называть,",
65,"когда резервов не хватает,",
65,когда прояснится ситуация с долгами и нефтяными ценами.,
66,когда Верховный суд принял к рассмотрению петиции против решения Мушаррафа участвовать в президентских выборах.,
72,"когда Соединенные Штаты и большинство стран-членов Европейского Союза в ближайшие месяцы признают независимость Косово без благословения ООН,",
73,"то когда его поймали в Лос-Анджелесе за тем, что он мошенническим путем получал талоны на бесплатное питание и ночлег,",
74,"Когда «Хамас» потребовал создания палестинской администрации для руководства областями, освобожденными Израилем,",
77,только когда прокрутил запись в обратную сторону.,
78,когда магнитное поле Земли слабо выражено.,
78,"Когда мы слышим такой прогноз погоды,",
78,"Когда же на карте погоды появляются слабо выраженные признаки наступления атмосферного фронта,",
78,"А когда собираются облака,",
79,"когда осваиваешь новые тоннели, -",
79,"например, когда опускаешься в колодец и луч фонаря не достает до стен,",
79,"""Когда при стопроцентной влажности температура не превышает плюс двух градусов,",
